X,Y,Z
1336,-255,572
1772,-82,498
1937,130,-17
2141,366,-321
2364,590,-5
2064,655,476
1516,419,719
1179,49,609
1101,-209,317
574,-333,111
123,-627,-67
26,-993,-509
359,-1213,-1110
597,-1363,-1347
596,-1679,-1325
181,-1663,-1396
-779,-1390,-1058
-1427,-1338,-446
-1144,-1163,-107
-937,-803,398
-1716,-656,1182
-2193,-767,1600
-1996,-1083,1289
-1029,-1314,823
-789,-1354,843
-1172,-1431,650
-1057,-1154,-159
-1055,-1226,-750
-935,-2119,-590
-20,-1908,-411
-133,-688,-178
-1576,186,433
-2001,875,799
-1436,418,809
-407,-78,213
432,265,-285
597,1051,57
-30,1743,301
-979,1579,-249
-1631,404,-955
-1638,-1062,-814
-1071,-1583,-442
-1109,-1526,-166
-1855,-1690,750
-1791,-1816,1693
-1528,-1358,1889
-1587,-993,1301
-1221,-939,589
-321,-1112,382
-46,-618,600
-587,-329,954
-971,-579,1506
-1035,-1580,1777
-907,-2238,1258
-1361,-1997,-174
-2000,-1313,-1366
-1766,-751,-1895
-142,-97,-1596
653,-271,-143
646,-381,380
579,-370,-58
781,-329,-347
1002,-331,-540
1403,197,-556
1702,599,-21
1064,394,739
328,-369,657
245,-829,-225
297,-615,-508
-12,-147,244
-612,-44,1011
-1097,-697,1440
-946,-1164,1195
-166,-733,382
315,123,-43
36,740,-237
-139,1377,-603
187,1682,-1046
682,1614,-1085
1038,878,-423
1498,491,105
1792,664,242
1230,751,88
858,827,-190
777,848,-191
568,478,3
205,-393,35
143,-1304,114
372,-1248,228
206,1,556
-960,833,701
-1575,749,485
-1080,-87,-16
-237,-785,-586
39,-1094,-918
-285,-934,-1007
-619,-692,-838
-146,-461,-339
606,536,388
364,1156,564
-255,742,183
37,409,-596
558,207,-697
418,274,-48
-251,286,469
-449,-75,584
131,-249,579
575,-342,817
1009,46,860
1107,995,844
261,1695,910
-406,1960,561
-122,1946,-563
475,1602,-1680
804,953,-1912
1268,543,-1557
1505,1172,-1176
684,1873,-719
-182,1971,-676
-415,1558,-1110
252,775,-1269
791,438,-1161
688,529,-701
99,576,-285
-98,513,-224
717,522,-167
1497,946,321
1257,1043,971
825,838,792
900,476,543
1209,352,1452
466,855,2590
-577,1329,2314
-847,1319,996
-412,670,-43
228,44,-448
250,-229,-62
-391,-128,556
-973,48,713
-1261,-169,365
-971,-362,-168
-656,-414,-637
-400,-437,-1155
84,-182,-1608
160,57,-1864
-61,317,-1655
-519,302,-986
-696,241,-420
-613,-18,-197
-352,-136,-235
-199,22,-376
-360,205,-703
-379,88,-1107
24,-327,-1417
483,-784,-1497
729,-1152,-1396
1449,-364,-670
495,486,560
-771,816,1061
-844,503,1315
283,711,1497
166,783,1781
-620,445,1731
-440,-188,1283
672,-138,711
935,321,1412
-206,1231,3550
-1717,1623,4216
-2297,1135,2632
-1411,88,625
-324,-502,-935
12,-644,-1775
7,-795,-1577
186,-278,-1352
74,357,-1010
-599,751,-181
-1059,376,708
-906,-495,699
-317,-704,-118
-320,-330,-494
-771,-416,-204
-1127,-880,126
-748,-797,-65
-610,-429,-100
-1051,-690,68
-586,-1402,79
35,-2031,-102
125,-2357,-92
-227,-2576,41
-521,-2607,83
-237,-2114,115
67,-1612,-40
406,-805,-711
488,-10,-1321
424,177,-1716
843,579,-1682
1058,1035,-1029
484,1061,-323
-358,64,-182
-646,-1153,-567
-263,-1842,-550
-316,-1909,-357
-596,-1525,-110
-877,-1407,640
-1059,-1616,1736
-1582,-1780,2324
-1814,-1604,2094
-1475,-827,1366
-743,76,919
-334,493,686
0,-89,495
537,-1025,201
801,-1692,-194
867,-1615,-470
670,-905,-464
-101,-251,182
-1038,-72,279
-1015,-571,-218
-170,-1285,-540
259,-1561,-745
809,-959,-704
1062,-321,25
1104,-218,662
1142,-215,566
867,112,34
288,375,-541
-180,498,-1023
-256,404,-1243
264,403,-810
611,752,-376
1016,1016,-189
1460,1244,-134
1416,1643,-152
844,2143,-537
254,2307,-880
43,1439,-819
-73,170,-740
-59,-697,-637
130,-453,-393
-28,477,-56
-274,908,564
-151,886,1029
350,1025,917
371,977,325
384,903,-463
545,1005,-1048
390,1087,-1192
17,526,-339
411,-791,1157
1219,-1640,2004
1559,-1778,2243
1405,-916,2050
969,424,1715
664,1268,1355
434,957,790
474,90,-40
466,-377,-628
252,-379,-835
-152,54,-566
-566,494,-242
-434,543,-376
364,258,-627
574,253,-1001
179,537,-1459
152,808,-1767
582,828,-1582
653,707,-1085
401,735,-926
581,637,-1097
