X,Y,Z
-169,328,610
-181,277,435
-184,-16,158
-197,-453,162
-236,-764,441
-249,-598,845
-460,15,1160
-809,633,1285
-917,863,1147
-708,475,532
-130,121,-248
393,-105,-807
753,-77,-975
671,89,-714
87,221,-131
-386,302,251
-581,272,258
-529,71,100
-436,-30,-54
-326,110,-243
-361,220,-322
-317,132,-209
-149,-69,-152
5,-170,-279
241,-307,-428
335,-346,-392
320,-314,-244
203,-185,-132
64,68,-126
0,150,-100
74,178,-95
185,189,-97
102,254,-130
58,285,-50
28,260,29
-36,212,98
-12,119,192
28,-51,226
89,-128,71
277,-104,-156
425,-43,-146
323,201,-18
283,546,3
443,698,-11
854,758,-57
1297,697,-53
1351,709,-50
1221,940,-65
1143,991,-88
984,954,-69
831,951,-147
788,930,-275
732,956,-226
576,1012,-143
506,921,-56
584,760,56
672,808,-53
675,976,-174
547,1056,-189
465,967,-247
443,833,-202
415,738,-191
320,815,-218
180,941,-326
44,995,-388
-70,892,-333
-169,775,-156
-305,654,-26
-388,500,-66
-426,333,-198
-266,90,-207
-204,-138,-48
-198,-367,192
-234,-499,330
-253,-496,254
-187,-468,-2
-54,-605,-35
-35,-752,300
-80,-774,477
-63,-706,383
48,-575,174
114,-498,158
73,-519,374
-57,-506,570
-218,-400,685
-284,-272,654
-313,-118,500
-223,25,226
-76,79,90
4,115,37
41,150,-47
78,142,47
34,-12,298
-92,-205,559
-114,-294,809
-249,-172,756
-271,178,320
-67,478,-233
135,529,-584
198,528,-758
236,627,-722
173,654,-597
64,730,-480
68,869,-475
-67,957,-495
-63,906,-397
6,711,-331
51,443,-220
33,289,-190
56,270,-305
111,282,-568
237,279,-752
312,165,-716
269,-17,-430
135,-96,-164
118,-177,-259
325,-240,-557
641,-264,-790
821,-385,-793
802,-553,-460
496,-773,114
96,-869,460
-76,-827,537
-19,-743,329
187,-654,211
307,-512,155
378,-293,-63
549,-107,-314
768,-190,-385
850,-525,125
569,-751,665
183,-660,829
-62,-417,596
-81,-143,142
29,24,-185
209,93,-383
235,85,-372
188,98,-315
240,124,-357
351,127,-146
316,-83,229
295,-319,477
97,-315,630
-196,-104,699
-389,71,628
-332,87,612
-354,-22,545
-372,-114,462
-333,-128,303
-174,-153,66
172,-201,-213
430,-442,-285
297,-621,-36
-259,-545,343
-727,-314,548
-928,-171,437
-786,-136,117
-538,-186,-150
-392,-277,-335
-259,-384,-602
-40,-879,-683
193,-1478,-388
61,-1651,133
-351,-1333,424
-611,-732,285
-563,-266,-33
-336,4,-396
-16,95,-587
116,2,-389
114,-182,-70
147,-302,87
287,-304,11
403,-244,-138
434,-108,-202
402,48,-245
302,166,-196
246,252,-215
323,297,-265
359,248,-260
373,229,-205
311,232,-83
244,223,60
150,149,226
63,146,284
74,94,164
145,124,58
296,77,-90
386,-1,-193
420,-146,-68
187,-292,368
-239,-331,899
-642,-326,1211
-924,-333,865
-786,-149,113
-352,125,-526
64,331,-778
309,387,-795
355,176,-670
442,-110,-467
402,-350,-113
32,-444,392
-315,-394,773
-497,-166,738
-417,52,328
-301,313,-189
-123,364,-491
-28,270,-524
-37,186,-455
55,175,-436
206,144,-344
306,101,-280
309,109,-210
282,171,-167
246,246,-70
145,333,37
24,437,118
9,495,104
11,462,141
-18,349,287
-148,317,353
-215,290,394
-96,192,221
274,328,-343
380,365,-213
67,282,172
-312,50,709
-784,-104,1417
-1254,-86,1477
-1399,96,733
-842,24,-135
-81,109,-753
476,222,-1136
704,248,-1216
642,145,-741
238,8,116
-240,-85,974
-678,-266,1243
-711,-154,609
-285,294,-366
171,601,-1097
557,688,-1348
594,579,-1067
500,377,-691
530,274,-408
587,260,-178
522,178,126
301,144,496
87,188,772
8,267,645
101,405,277
255,470,-173
395,500,-420
473,521,-576
455,523,-470
322,462,-212
242,410,-58
303,393,-41
465,382,-84
525,268,52
333,156,455
-117,171,922
-530,-30,1192
-683,-340,912
-364,-196,133
-69,127,-594
215,445,-1003
320,580,-957
224,342,-673
183,164,-118
-355,90,658
-998,-104,928
-1135,-341,554
-567,-293,18
-280,-111,-299
-347,27,-307
-552,162,-251
-522,242,-285
-358,245,-412
-148,139,-379
-46,-101,-4
-213,-222,417
-334,-198,592
-416,-34,549
-395,128,335
-292,129,11
-130,58,-98
-207,61,-170
-288,155,-167
-416,276,-121
-424,365,-74
-182,175,-163
221,-197,-242
524,-549,-184
411,-535,141
-140,-480,802
-611,-442,1341
-955,-410,1266
-824,-296,582
-318,-331,-159
118,-559,-669
389,-749,-717
191,-903,-299
-32,-983,125
-233,-1069,372
-364,-859,234
-288,-469,-176
-190,-219,-460
-130,-128,-584
-81,-181,-588
-75,-306,-448
-112,-390,-292
-70,-459,-228
-22,-485,-244
16,-509,-279
86,-521,-264
110,-373,-214
246,-268,-242
395,-223,-298
394,-225,-219
278,-152,-62
168,-41,184
33,-52,468
-212,-52,423
-345,-126,233
-352,-298,228
-309,-244,352
-316,-154,668
-505,-36,1054
-1055,-3,1047
-1488,-64,533
-1226,-180,-206
-817,-368,-842
-824,-306,-1357
-1086,-368,-1617
-1109,-698,-1339
-794,-1345,-545
-752,-1836,301
-1207,-1716,823
-1680,-1444,982
-1712,-1211,709
-1225,-994,238
-749,-1042,-93
-658,-955,-106
-975,-708,121
-1218,-469,246
-1157,-358,179
-845,-609,66
-697,-777,-69
-814,-783,-65
-894,-649,10
-933,-657,175
-980,-809,271
-1025,-985,221
-855,-969,296
-957,-877,313
-1331,-903,277
-1741,-1048,73
-1600,-822,-263
-886,-489,-297
-287,-376,-105
-62,-269,-112
-293,-311,-314
-578,-365,-640
-854,-608,-1239
-657,-830,-1324
-280,-1250,-1132
-54,-1316,-996
-133,-1076,-1122
-282,-634,-1224
-340,-461,-1157
-169,-572,-1063
-108,-663,-1127
-106,-602,-1079
-215,-549,-958
-426,-500,-716
-408,-323,-322
-585,-239,227
-944,-336,763
-1063,-600,1132
-1026,-554,1063
-668,-572,811
-192,-631,614
-66,-516,537
-338,-423,575
-625,-476,636
-696,-419,528
-681,-777,154
-699,-1403,-24
-649,-1540,-9
-354,-1237,181
19,-735,318
211,-355,147
62,-152,-206
-285,-76,-708
-702,-152,-1120
-1034,-539,-1144
-1049,-1033,-748
-775,-1132,-394
-520,-938,-98
-285,-789,50
-204,-610,-79
-197,-488,-333
-273,-444,-500
-412,-536,-457
-490,-449,-424
-345,-254,-271
-329,-199,-178
-400,-267,-241
-387,-219,-501
-373,-18,-720
-571,88,-871
-532,-35,-788
-308,-144,-526
-469,18,-333
-472,83,-476
-259,131,-558
-19,-72,-596
-14,-191,-552
-60,-212,-437
-177,-373,-90
-315,-578,-158
-657,-883,-540
-945,-1045,-567
-811,-810,-79
-454,-337,542
-88,-238,823
231,-216,433
323,28,-209
-12,53,-644
-684,-277,-624
-962,-793,-82
-902,-1102,345
-529,-893,399
-227,-530,194
-100,-183,-280
109,155,-685
299,383,-1006
397,642,-1154
430,756,-1135
356,635,-1007
380,410,-622
399,361,-241
210,360,237
87,200,585
119,39,728
237,-34,768
169,-94,720
96,-44,588
203,-29,373
482,-50,121
620,-10,-55
649,-35,-73
633,-201,-48
578,-185,-63
369,-145,-100
83,-158,-86
20,-311,49
63,-447,224
218,-442,465
217,-401,677
71,-485,636
-166,-663,313
-442,-907,-56
-587,-1169,35
-733,-1183,401
-772,-943,627
-682,-680,516
-283,-495,71
1,-291,-385
76,-195,-517
6,-120,-326
-122,-175,-151
-55,-56,-247
226,123,-384
386,234,-441
237,330,-446
76,400,-442
84,428,-478
322,424,-391
440,437,-351
530,440,-316
577,553,-348
676,614,-225
702,625,-11
565,541,242
587,434,491
530,271,644
464,218,634
538,233,536
430,17,405
310,-317,94
330,-435,-177
389,-306,-185
667,-227,558
818,-109,1463
655,-114,1823
277,-54,1508
392,397,173
281,405,-743
306,229,-1185
482,-100,-1174
731,-567,-866
899,-576,-454
577,-264,14
296,193,384
72,580,447
63,897,242
336,1179,-141
707,1210,-283
957,859,-183
966,585,10
936,496,61
931,356,95
962,328,155
960,341,240
786,407,264
714,481,146
640,569,7
604,461,18
570,355,122
534,225,71
511,144,86
407,86,78
267,-2,-47
309,-106,-137
400,-306,88
490,-448,652
284,-388,1014
100,-223,1048
-4,144,518
-50,334,-54
-36,335,-441
0,195,-479
34,-252,-139
126,-748,367
192,-994,940
158,-1078,1177
58,-957,1034
21,-557,436
89,-172,-212
99,57,-661
131,122,-926
287,41,-920
356,-59,-903
311,-76,-788
202,-121,-629
109,-108,-520
48,-42,-401
-23,10,-327
-41,2,-351
-68,10,-251
-86,-45,-86
-124,-127,138
-174,-248,280
-156,-355,389
-162,-470,451
-189,-522,270
-198,-714,-61
-272,-891,-226
-386,-806,-98
-293,-388,431
-156,-18,1084
-168,280,1350
-455,412,946
-431,552,53
-395,500,-687
-454,210,-1059
-177,-214,-891
167,-592,-330
281,-738,296
70,-532,697
-146,-64,751
-169,386,460
73,754,-4
272,937,-457
524,910,-676
