X,Y,Z
103,-411,-1020
-328,-63,1004
-166,424,225
-16,142,232
-272,-65,548
-166,15,-55
-22,86,-68
163,203,-209
139,297,-15
-18,457,551
25,366,-105
-142,108,127
3,272,31
17,213,71
-44,194,44
17,285,19
122,270,66
66,108,-124
-4,186,-4
61,246,86
55,252,144
77,253,15
28,237,-140
9,237,8
20,357,217
-2,426,257
10,495,96
65,362,-122
92,231,-239
91,431,188
70,373,59
75,477,147
19,549,-240
296,573,-574
-123,780,630
114,603,193
82,613,41
66,635,69
72,594,74
65,599,64
54,562,50
61,565,55
58,536,43
44,529,48
54,514,51
43,490,68
38,477,37
47,457,36
54,433,43
51,408,58
34,411,39
42,384,37
42,375,29
29,373,38
31,373,0
33,345,30
30,337,37
25,312,26
25,318,24
31,309,40
25,310,40
22,300,10
34,274,39
16,257,12
20,257,46
18,247,28
20,237,21
32,236,2
15,227,3
13,208,35
6,211,25
15,208,13
13,189,-3
12,198,27
0,181,18
30,180,29
14,176,-5
3,170,19
20,154,18
-1,163,20
8,148,-3
8,154,55
13,139,-11
-5,137,12
15,136,-28
6,130,6
8,104,13
8,117,24
0,126,-8
-10,102,-14
20,105,22
7,119,-14
7,92,-2
-5,102,4
18,69,18
12,96,-8
-3,89,-11
6,81,13
20,76,14
9,70,13
-7,71,16
17,88,-7
4,68,-3
-11,67,-5
-6,63,13
-1,59,3
0,59,12
-3,54,9
5,45,0
-6,38,0
1,46,-9
16,54,10
-8,51,2
-10,11,13
-4,50,-15
-3,42,6
-8,49,8
-2,38,9
1,39,22
16,35,25
6,4,-13
-11,37,-2
1,26,-3
3,15,-24
-15,24,-1
20,17,2
12,21,26
-9,23,-12
-8,13,-1
-1,24,-8
-2,18,40
-12,5,0
10,8,-6
-3,17,20
8,7,30
-4,15,19
-3,8,19
3,0,17
-4,12,26
3,15,15
5,2,-1
-4,19,26
4,8,-11
-12,6,-2
-7,6,-21
-2,6,-15
-4,18,-26
3,-10,-18
5,11,-6
3,5,13
11,16,-9
0,0,-5
-4,-1,8
-6,-1,-12
-14,0,4
4,-3,-9
-1,3,-5
4,10,-16
2,4,6
-4,28,-12
12,-2,17
0,-9,-16
-10,-2,-6
-5,19,-3
7,-9,-6
8,1,26
-14,-3,2
-6,2,-8
-12,-10,-6
16,-9,3
-2,-3,7
-1,-8,0
4,0,32
-9,0,23
-6,-2,-11
-14,-20,5
-14,-2,9
10,6,21
-4,5,0
4,3,21
-1,-5,-23
4,-3,-16
-8,-2,23
-2,-1,6
5,1,-34
6,3,-15
18,6,-16
-6,-8,5
12,3,-15
14,4,12
4,4,-11
-16,-4,-29
0,-14,-5
11,2,4
-3,-1,16
-9,-5,-11
-3,-4,2
-11,7,-6
1,2,6
1,-11,4
12,-6,18
-1,-5,5
-2,1,5
-19,5,18
18,-19,41
-5,-1,-14
6,8,12
-1,-9,-21
-4,-3,-2
5,6,12
-11,-9,-18
-7,1,8
1,8,16
-2,-4,16
-8,-2,6
6,9,32
6,-9,9
-6,0,24
13,6,1
5,13,13
-17,-11,-9
15,-18,0
